ID Nobs Nfilt obs_first theta_E	mb		dt_input 
SN60 4 2 61094.37298561146 0.21198618069182645 22.57156168991498 3.189527395802015
SN62 6 3 61006.056092466664 1.1790677155884601 22.145050131143286 14.60799518190667
SN63 9 4 60558.401755993546 0.37069001978252186 21.063021781051074 9.68649057335433
SN66 13 5 60625.255525448 0.5842844494917806 22.2125865244351 11.570935957121607
SN67 7 3 60491.43259125132 0.5355205955411787 23.305488620635938 30.557087965604726
SN69 18 4 61214.339908814 0.8988747654686333 21.7764436688605 17.030921082887897
SN71 3 3 60866.333440568145 0.33583442452674095 22.59706759973874 9.467087802162641
SN72 11 4 61126.38842957369 0.7900865458958615 21.198794913810595 16.058370026625376
SN74 13 4 61058.358391532136 0.9807976448498267 23.420220393770308 40.68645634443673
SN78 7 3 60382.12694846643 1.565308578336561 22.84691246088269 77.04624849610482
SN80 8 3 60506.388010981536 0.31750042547725305 23.739598869720957 36.0906805510181
SN82 7 4 61125.36548012267 0.7183336320261838 22.85530871564024 11.607990013512637
SN84 6 4 60686.323725323105 0.6892471924449258 23.355988858297735 41.81353200106017
SN89 6 4 61140.41656022881 0.2971127364193391 23.21974054737621 21.999553251572685
SN94 9 4 60968.37064696319 0.39101684209054166 22.79601595233872 6.5323702782499105
SN100 2 2 61272.42724803763 1.0794064984339284 21.844436411318576 75.86014490869275
SN108 6 4 61276.221092708096 0.9238409558327392 21.352188714525028 9.327127069884579
SN110 0 0 60955.35670288056 0.8161907302589397 22.015716909245 32.21344503753333
SN117 5 3 60486.298389643845 0.5005662029001269 23.214461011718356 35.24891955099318
SN119 9 5 60368.250478265145 0.6363015649528531 20.443436472811733 7.139060109876208
SN120 5 4 60763.356338873375 0.5980189295219157 21.4584213936335 1.1182153349613895
SN121 7 4 61118.24830816345 0.6997249596197175 22.770668112947682 33.2252522231271
SN122 4 3 60528.43653601 0.7583593838561822 22.744213891968776 18.991131836656088
SN124 3 3 61031.299853686374 0.6601659890701046 22.978333936446077 22.539020366880436
SN125 8 4 60325.3466758452 0.44344413782353265 22.274739125462908 5.80214883586912
SN127 1 1 61008.237750560555 0.3975586325966333 20.95260462744028 2.471481764712581
SN129 7 3 60408.3508750487 0.30232203390136414 22.84907683447694 3.9881213104434865
SN131 2 2 60856.37100616059 0.667268076175975 22.673529511002776 25.679484917062354
SN133 10 4 60381.4030664853 0.48674921383012976 23.173473707351 23.645489729909148
SN137 5 4 61226.390471254716 1.1679665522035052 23.000433886014278 38.9356006149184
SN143 6 4 60566.37461520279 0.2808984561468482 21.275655770209397 14.271972403731304
SN146 4 4 60524.31185778892 0.8028206523693076 22.544842131279314 12.135590639844661
SN151 8 3 60714.36301450696 0.6195638913316696 23.020283118363302 34.047727567618715
SN152 5 4 61226.381522162366 0.3337022016573633 23.15545068777292 45.405399155951045
SN156 5 3 60690.306254767835 1.8834240527366366 21.79085389604758 109.70543122645823
SN157 4 3 60502.37382883069 1.0366961138394628 21.64987357534392 20.35629795072938
SN159 2 2 60684.299651206726 0.3657790140051494 21.19570398395905 7.3157528204769875
SN160 12 5 60271.275147318265 1.3535071231901086 22.915084962294245 49.36417719431504
SN162 6 4 60269.34013531556 0.45269613519991925 23.29636911891879 26.490970443823336
SN164 7 3 60423.4033820709 0.7685673918529977 21.607899011672842 18.118771723192037
SN169 6 2 60865.3405604424 0.8150964059487852 23.641012422616697 56.613413705899305
SN171 8 4 60505.34971696502 0.5658259696381825 23.053241935831544 6.059218237705182
SN172 16 5 60935.32664474891 0.6751979869740119 23.111252288400216 39.93936266629589
SN173 14 4 60524.303281247994 0.5977748056705966 22.62851061092715 32.1296837955507
SN177 16 4 61046.35015709808 0.8374126480882517 21.793402736219612 3.4360651158782605
SN181 8 3 60760.40791868787 0.988043629860267 22.585507805468595 52.648587813011844
SN184 10 5 60720.3755343048 1.0273956196830523 22.10247401636233 54.49214828964513
SN186 10 3 60593.29851424886 0.5419563579098868 21.997054316843162 5.8908782127005175
SN187 2 2 61187.39267353347 0.3253349294654911 23.126355226897587 10.780972981821844
SN188 18 5 61046.35015709808 0.565832779307443 22.464444013891352 16.51290237643288
SN189 4 3 60939.39840529442 1.0299845197461217 23.23447578077026 52.11452695700014
SN190 9 4 61004.025396518926 1.734324077695832 19.783658629827464 10.968199817510174
SN195 4 2 60968.34613902439 1.2094363897357079 23.256138720444113 124.94638598081457
SN197 7 4 60599.23914573009 0.5179348649744289 22.23298182469875 9.373932728209775
SN210 5 3 60893.25921814481 0.4565501306068267 21.914673110408856 4.610165613029292
SN211 1 1 60714.34873414719 0.07950907088158646 22.391653222750918 0.3099460383604242
SN213 9 5 60716.24111830906 0.6339662134154144 22.51282424326386 23.061042642574158
SN215 8 4 60333.11843833732 1.1014562796985523 22.88320923808167 49.687581538125116
SN218 2 2 60270.33844413695 0.33812601254315544 20.675904071830928 0.5561385011019793
SN219 2 2 60634.28169892679 0.25977864638641507 21.88886792727918 9.288752491931943
